UNITID,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,INEXPFTE,ENDOWBEGIN,ENDOWEND
480879,NA,NA,NA,1677,NA,NA
480888,NA,NA,NA,19615,NA,NA
480897,NA,NA,NA,9095,NA,NA
480903,NA,NA,NA,4737,NA,NA
480912,NA,NA,NA,12511,NA,NA
480921,NA,NA,NA,1043,NA,NA
480930,NA,NA,NA,4504,NA,NA
480967,6501,6501,3894,2929,NA,NA
480976,NA,NA,NA,3538,NA,NA
480985,4555,4555,NA,842,NA,NA
480994,NA,NA,NA,4494,NA,NA
481003,NA,NA,NA,3000,NA,NA
481021,NA,NA,NA,10120,NA,NA
481030,NA,NA,4583,53541,7395599,8313907
481049,NA,NA,NA,10751,NA,NA
481058,2690,2690,5256,2068,NA,NA
481076,NA,NA,NA,56920,NA,NA
481085,NA,NA,NA,6494,NA,NA
481094,NA,NA,6645,22740,NA,NA
481100,NA,NA,NA,5702,NA,NA
481119,NA,NA,5332,2206,NA,NA
481128,NA,NA,NA,227,NA,NA
481137,NA,NA,NA,9470,NA,NA
481146,NA,NA,NA,1675,NA,NA
481155,15064,15064,NA,7753,NA,NA
481164,NA,NA,NA,6486,NA,NA
481173,NA,NA,NA,2188,NA,NA
481182,NA,NA,NA,4132,NA,NA
481191,NA,NA,NA,3907,NA,NA
481207,13200,13200,NA,2055,NA,NA
481225,4186,4186,3277,6792,94525,94588
481234,NA,NA,1930,1336,NA,NA
481243,NA,NA,NA,1853,NA,NA
481252,NA,NA,4333,3675,NA,NA
481261,NA,NA,NA,1466,NA,NA
481270,NA,NA,NA,3025,NA,NA
481289,NA,NA,NA,6544,NA,NA
481298,NA,NA,NA,927,NA,NA
481304,NA,NA,NA,6742,NA,NA
481313,NA,NA,NA,1186,NA,NA
481322,NA,NA,NA,18963,NA,NA
481331,NA,NA,NA,1900,NA,NA
481340,NA,NA,NA,3607,NA,NA
481359,NA,NA,NA,3886,NA,NA
481368,NA,NA,NA,9490,NA,NA
481377,NA,NA,NA,2264,NA,NA
481386,NA,NA,NA,29338,NA,NA
481395,NA,NA,NA,1798,NA,NA
481401,4754,4754,2603,5664,1259953,1892974
481410,10200,10200,2295,3320,NA,NA
