SCL_UNITID	SCL_NAME	SCL_DIVISION	SCL_SUBDIVISION	SCL_CONFERENCE	SCL_HBCU	SCL_PRIVATE	SPORT	FED_RATE	ASR
110361	California Baptist University	2	0	Pacific West Conference	2	1	WSB	83	95
110361	California Baptist University	2	0	Pacific West Conference	2	1	WSW	74	94
110361	California Baptist University	2	0	Pacific West Conference	2	1	MTE	36	-99
110361	California Baptist University	2	0	Pacific West Conference	2	1	WNO	100	100
110361	California Baptist University	2	0	Pacific West Conference	2	1	WTR	100	93
110361	California Baptist University	2	0	Pacific West Conference	2	1	MTR	67	100
110361	California Baptist University	2	0	Pacific West Conference	2	1	MVB	71	90
110361	California Baptist University	2	0	Pacific West Conference	2	1	WSO	70	96
110361	California Baptist University	2	0	Pacific West Conference	2	1	WWP	64	100
110361	California Baptist University	2	0	Pacific West Conference	2	1	MBA	57	71
110361	California Baptist University	2	0	Pacific West Conference	2	1	MSO	65	90
110361	California Baptist University	2	0	Pacific West Conference	2	1	MBB	27	78
110361	California Baptist University	2	0	Pacific West Conference	2	1	WBB	47	90
110361	California Baptist University	2	0	Pacific West Conference	2	1	MSW	58	90
110361	California Baptist University	2	0	Pacific West Conference	2	1	WTE	44	-99
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	MBA	50	62
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	MGO	100	100
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	MSO	33	61
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	WBB	75	86
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	WSB	89	86
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	MTR	33	59
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	WVB	73	92
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	MBB	0	35
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	WTE	100	86
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	WTR	40	88
110495	California State University-Stanislaus	2	0	California Collegiate Athletic Association	2	0	WSO	74	91
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	WBB	33	57
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	MBA	67	66
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	WWP	67	82
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	WSO	76	80
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	MSO	17	61
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	WTR	100	80
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	WVB	82	85
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	WTE	89	-99
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	MGO	0	60
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	MBB	25	38
110510	California State University-San Bernardino	2	0	California Collegiate Athletic Association	2	0	WSB	71	75
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	MTR	78	83
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	WBB	50	63
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	MTE	25	-99
